time,records_inserted,latency_ms
2026-02-27 12:42:59,688,98.81
2026-02-27 12:43:04,680,118.03
2026-02-27 12:43:09,790,99.03
2026-02-27 12:43:14,810,105.07
2026-02-27 12:43:19,780,101.2
2026-02-27 12:43:24,750,115.23
2026-02-27 12:43:29,850,100.86
2026-02-27 12:43:34,570,121.29
2026-02-27 12:43:39,860,112.39
2026-02-27 12:43:44,700,129.85
2026-02-27 12:43:49,560,139.71
2026-02-27 12:43:54,750,112.2
2026-02-27 12:43:59,680,125.59
2026-02-27 12:44:04,750,125.69
2026-02-27 12:44:09,680,117.23
2026-02-27 12:44:14,560,139.23
2026-02-27 12:44:19,870,101.88
2026-02-27 12:44:24,640,128.29
2026-02-27 12:44:29,780,101.12
2026-02-27 12:44:34,650,139.67
2026-02-27 12:44:39,570,123.4
2026-02-27 12:44:44,850,112.55
2026-02-27 12:44:49,670,128.0
2026-02-27 12:44:54,620,127.53
2026-02-27 12:44:59,740,112.03
2026-02-27 12:45:04,860,106.16
2026-02-27 12:45:09,740,106.73
2026-02-27 12:45:14,750,124.79
2026-02-27 12:45:19,530,110.84
2026-02-27 12:45:24,890,110.29
2026-02-27 12:45:29,720,108.82
2026-02-27 12:45:34,640,126.61
2026-02-27 12:45:39,770,108.41
2026-02-27 12:45:44,750,124.69
2026-02-27 12:45:49,610,132.32
2026-02-27 12:45:54,690,106.48
2026-02-27 12:45:59,820,120.93
2026-02-27 12:46:04,700,112.17
2026-02-27 12:46:09,620,130.94
2026-02-27 12:46:14,810,103.13
2026-02-27 12:46:19,750,120.43
2026-02-27 12:46:24,530,122.99
2026-02-27 12:46:29,780,111.02
2026-02-27 12:46:34,680,127.91
2026-02-27 12:46:39,710,143.42
2026-02-27 12:46:44,750,97.4
2026-02-27 12:46:49,790,120.03
2026-02-27 12:46:54,610,142.68
2026-02-27 12:46:59,710,110.17
2026-02-27 12:47:04,730,126.27
2026-02-27 12:47:09,620,144.24
2026-02-27 12:47:14,590,119.79
2026-02-27 12:47:19,730,115.82
2026-02-27 12:47:24,720,141.35
2026-02-27 12:47:29,530,136.08
2026-02-27 12:47:34,890,104.07
2026-02-27 12:47:39,710,127.36
2026-02-27 12:47:44,570,141.74
2026-02-27 12:47:49,670,95.22
2026-02-27 12:47:54,930,118.12
2026-02-27 12:47:59,630,139.37
2026-02-27 12:48:04,650,132.9
2026-02-27 12:48:09,720,114.11
2026-02-27 12:48:14,670,133.5
2026-02-27 12:48:19,550,117.81
2026-02-27 12:48:24,870,110.92
2026-02-27 12:48:29,650,131.4
2026-02-27 12:48:34,760,121.54
2026-02-27 12:48:39,660,117.41
2026-02-27 12:48:44,770,110.94
2026-02-27 12:48:49,470,160.26
2026-02-27 12:48:54,760,105.36
2026-02-27 12:48:59,820,106.1
2026-02-27 12:49:04,710,133.55
2026-02-27 12:49:09,530,135.41
2026-02-27 12:49:14,680,123.27
2026-02-27 12:49:19,610,173.39
2026-02-27 12:49:24,630,117.15
2026-02-27 12:49:29,660,143.55
2026-02-27 12:49:34,520,125.45
2026-02-27 12:49:39,920,111.37
2026-02-27 12:49:44,770,97.87
2026-02-27 12:49:49,750,113.54
2026-02-27 12:49:54,750,111.68
2026-02-27 12:49:59,800,101.37
2026-02-27 12:50:04,830,105.79
2026-02-27 12:50:09,790,111.72
2026-02-27 12:50:14,500,161.17
2026-02-27 12:50:19,730,111.5
2026-02-27 12:50:24,900,108.56
2026-02-27 12:50:29,670,127.4
2026-02-27 12:50:34,620,127.7
2026-02-27 12:50:39,720,110.6
2026-02-27 12:50:44,690,112.76
2026-02-27 12:50:49,620,157.51
2026-02-27 12:50:54,600,109.22
2026-02-27 12:50:59,720,141.82
2026-02-27 12:51:04,530,138.48
2026-02-27 12:51:09,780,103.79
2026-02-27 12:51:14,660,160.85
2026-02-27 12:51:19,740,112.46
2026-02-27 12:51:24,710,103.14
2026-02-27 12:51:29,920,103.25
2026-02-27 12:51:34,630,140.0
2026-02-27 12:51:39,720,114.09
2026-02-27 12:51:44,650,118.36
2026-02-27 12:51:49,720,137.5
2026-02-27 12:51:54,730,113.24
2026-02-27 12:51:59,700,118.32
2026-02-27 12:52:04,760,109.25
2026-02-27 12:52:09,620,130.69
2026-02-27 12:52:14,640,133.81
2026-02-27 12:52:19,750,115.02
2026-02-27 12:52:24,680,143.73
2026-02-27 12:52:29,690,111.86
2026-02-27 12:52:34,720,99.53
2026-02-27 12:52:39,740,134.57
2026-02-27 12:52:44,640,139.82
2026-02-27 12:52:49,580,108.76
2026-02-27 12:52:54,990,107.56
2026-02-27 12:52:59,510,135.54
2026-02-27 12:53:04,670,129.8
2026-02-27 12:53:09,690,151.48
2026-02-27 12:53:14,540,166.56
2026-02-27 12:53:19,710,96.13
2026-02-27 12:53:24,880,101.34
2026-02-27 12:53:29,660,133.11
2026-02-27 12:53:34,750,109.79
2026-02-27 12:53:39,720,104.96
2026-02-27 12:53:44,870,102.81
2026-02-27 12:53:49,670,135.53
2026-02-27 12:53:54,530,133.54
2026-02-27 12:53:59,900,107.23
2026-02-27 12:54:04,720,126.51
2026-02-27 12:54:09,610,139.71
2026-02-27 12:54:14,600,117.48
2026-02-27 12:54:19,700,126.41
2026-02-27 12:54:24,760,127.23
2026-02-27 12:54:29,630,119.87
2026-02-27 12:54:34,810,124.82
2026-02-27 12:54:39,620,128.87
2026-02-27 12:54:44,680,125.56
2026-02-27 12:54:49,730,119.04
2026-02-27 12:54:54,620,137.9
2026-02-27 12:54:59,730,115.22
2026-02-27 12:55:04,770,96.01
2026-02-27 12:55:09,720,134.26
2026-02-27 12:55:14,730,126.02
2026-02-27 12:55:19,580,118.63
2026-02-27 12:55:24,820,108.43
2026-02-27 12:55:29,540,151.2
2026-02-27 12:55:34,730,103.32
2026-02-27 12:55:39,770,115.9
2026-02-27 12:55:44,610,160.4
2026-02-27 12:55:49,700,111.46
2026-02-27 12:55:54,730,99.8
2026-02-27 12:55:59,840,129.44
2026-02-27 12:56:04,590,132.23
2026-02-27 12:56:09,730,115.47
2026-02-27 12:56:14,650,126.93
2026-02-27 12:56:19,690,134.14
2026-02-27 12:56:24,630,103.57
2026-02-27 12:56:29,860,121.87
2026-02-27 12:56:34,620,124.35
2026-02-27 12:56:39,630,118.65
2026-02-27 12:56:44,800,114.9
2026-02-27 12:56:49,700,136.06
2026-02-27 12:56:54,680,114.82
2026-02-27 12:56:59,630,109.65
2026-02-27 12:57:04,920,121.66
2026-02-27 12:57:09,500,141.16
2026-02-27 12:57:14,700,114.83
2026-02-27 12:57:19,820,112.47
2026-02-27 12:57:24,640,142.53
2026-02-27 12:57:29,690,120.72
2026-02-27 12:57:34,670,124.46
2026-02-27 12:57:39,740,119.62
2026-02-27 12:57:44,550,148.26
2026-02-27 12:57:49,800,101.89
2026-02-27 12:57:54,810,116.61
2026-02-27 12:57:59,680,141.52
2026-02-27 12:58:04,650,115.1
2026-02-27 12:58:09,770,113.56
2026-02-27 12:58:14,550,158.72
2026-02-27 12:58:19,710,132.55
2026-02-27 12:58:24,730,104.34
2026-02-27 12:58:29,690,141.24
2026-02-27 12:58:34,730,113.84
2026-02-27 12:58:39,610,112.69
2026-02-27 12:58:44,780,134.91
2026-02-27 12:58:49,570,106.95
2026-02-27 12:58:54,710,112.93
2026-02-27 12:58:59,870,120.53
2026-02-27 12:59:04,730,116.14
2026-02-27 12:59:09,650,116.26
2026-02-27 12:59:14,710,101.07
2026-02-27 12:59:19,730,130.31
2026-02-27 12:59:24,700,130.98
2026-02-27 12:59:29,590,109.01
2026-02-27 12:59:34,770,125.33
2026-02-27 12:59:39,650,136.03
2026-02-27 12:59:44,620,109.49
2026-02-27 12:59:49,900,115.28
2026-02-27 12:59:54,710,128.01
2026-02-27 12:59:59,610,121.9
2026-02-27 13:00:04,700,112.63
2026-02-27 13:00:09,720,123.14
2026-02-27 13:00:14,720,141.15
2026-02-27 13:00:19,700,95.18
2026-02-27 13:00:24,700,129.1
2026-02-27 13:00:29,680,128.63
2026-02-27 13:00:34,680,114.83
2026-02-27 13:00:39,810,97.6
2026-02-27 13:00:44,760,135.93
2026-02-27 13:00:49,650,130.01
2026-02-27 13:00:54,710,114.25
2026-02-27 13:00:59,750,112.67
2026-02-27 13:01:04,640,121.82
2026-02-27 13:01:09,700,127.1
2026-02-27 13:01:14,750,104.25
2026-02-27 13:01:19,660,142.12
2026-02-27 13:01:24,720,129.52
2026-02-27 13:01:29,710,93.99
2026-02-27 13:01:34,520,157.84
2026-02-27 13:01:39,790,116.73
2026-02-27 13:01:44,810,109.7
2026-02-27 13:01:49,750,108.29
2026-02-27 13:01:54,570,132.11
2026-02-27 13:01:59,780,119.8
2026-02-27 13:02:04,700,101.19
2026-02-27 13:02:09,700,147.33
2026-02-27 13:02:14,490,152.38
2026-02-27 13:02:19,810,111.86
