datetime,insert_total,insert_original,insert_duplicate,insert_avg_latency_ms,query_count,query_failed,query_avg_latency_ms
2026-03-01 11:37:02,699,696,3,53.58,0,0,0.0
2026-03-01 11:37:07,948,701,247,43.76,1316,0,42.1
2026-03-01 11:37:12,1015,765,250,46.16,1978,0,44.67
2026-03-01 11:37:17,964,714,250,45.48,1928,0,44.54
2026-03-01 11:37:22,942,692,250,49.49,1874,0,51.69
2026-03-01 11:37:27,711,461,250,57.12,1862,0,51.08
2026-03-01 11:37:32,854,604,250,111.42,1560,0,39.02
2026-03-01 11:37:37,1053,803,250,67.4,1658,0,49.96
2026-03-01 11:37:42,964,714,250,50.37,2012,0,46.06
2026-03-01 11:37:47,907,657,250,62.13,1802,0,55.55
2026-03-01 11:37:52,964,728,236,50.49,1804,0,48.74
2026-03-01 11:37:57,973,747,226,60.36,1572,0,63.58
2026-03-01 11:38:02,817,718,99,52.32,1834,0,53.86
2026-03-01 11:38:07,943,750,193,83.54,2214,0,45.72
2026-03-01 11:38:12,978,730,248,56.85,1910,0,43.36
2026-03-01 11:38:17,948,700,248,52.24,1886,0,49.58
2026-03-01 11:38:22,936,686,250,55.46,1800,0,55.67
2026-03-01 11:38:27,886,636,250,53.79,1806,0,50.09
2026-03-01 11:38:32,1003,753,250,65.77,1916,0,56.9
2026-03-01 11:38:37,958,708,250,53.38,1906,0,52.16
2026-03-01 11:38:42,917,667,250,52.43,1900,0,52.64
2026-03-01 11:38:47,928,678,250,54.87,1814,0,55.18
2026-03-01 11:38:52,1025,775,250,73.6,1964,0,50.72
2026-03-01 11:38:57,861,611,250,52.24,1902,0,45.13
2026-03-01 11:39:02,912,662,250,51.08,2074,0,46.62
2026-03-01 11:39:07,968,722,246,54.98,1700,0,58.12
2026-03-01 11:39:12,952,716,236,53.0,1908,0,53.03
2026-03-01 11:39:17,945,706,239,57.12,1848,0,54.06
2026-03-01 11:39:22,1011,750,261,52.29,1882,0,53.26
2026-03-01 11:39:27,951,750,201,53.71,1776,0,56.19
2026-03-01 11:39:32,982,750,232,56.9,1650,0,60.61
2026-03-01 11:39:37,941,750,191,57.93,1642,0,60.8
2026-03-01 11:39:42,897,747,150,54.07,1888,0,52.57
2026-03-01 11:39:47,923,679,244,56.38,1864,0,54.12
2026-03-01 11:39:52,999,749,250,56.88,1748,0,57.29
2026-03-01 11:39:57,1024,774,250,57.2,1756,0,56.89
2026-03-01 11:40:02,943,693,250,54.4,1672,0,59.73
2026-03-01 11:40:07,740,490,250,50.06,1804,0,54.45
2026-03-01 11:40:12,940,690,250,63.02,1570,0,64.45
