time,cpu_usr,cpu_sys,cpu_idl,cpu_wai,cpu_stl,mem_used,mem_free,mem_buff,mem_cach,io_total_read,io_total_writ,io_sda_read,io_sda_writ,io_sdh_read,io_sdh_writ,dsk_total_read,dsk_total_writ,dsk_sda_read,dsk_sda_writ,dsk_sdh_read,dsk_sdh_writ,root_used,root_free,data_used,data_free
24-02 13:31:51,1,0,98,0,0,2844786688,17394617548.8,1380974592,11274289152,3.44,20.3,3.39,12.1,0.01,0.02,39936,1304576,39936,690176,38,17408,30279519436.8,502511173632,84410368,527207235584
24-02 13:31:52,1,0,98,0,0,2839543808,17394617548.8,1380974592,11274289152,0,24.0,0,0,0,22.0,0,23068672,0,0,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:31:53,1,0,98,1,0,2774532096,17394617548.8,1380974592,11274289152,0,74.0,0,7.00,0,20.0,0,23068672,0,32768,0,20971520,30279519436.8,502511173632,84410368,527207235584
24-02 13:31:54,1,1,98,0,0,2778726400,17394617548.8,1380974592,11274289152,0,36.0,0,2.00,0,22.0,0,23068672,0,73728,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:31:55,1,1,98,0,0,2776629248,17394617548.8,1380974592,11274289152,0,29.0,0,5.00,0,22.0,0,23068672,0,20480,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:31:56,2,1,97,0,0,2771386368,17394617548.8,1380974592,11274289152,0,47.0,0,8.00,0,33.0,0,23068672,0,40960,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:31:57,1,0,99,0,0,2769289216,17394617548.8,1380974592,11274289152,0,24.0,0,4.00,0,20.0,0,22020096,0,1216512,0,20971520,30279519436.8,502511173632,84410368,527207235584
24-02 13:31:58,2,0,98,0,0,2765094912,17394617548.8,1380974592,11274289152,0,46.0,0,4.00,0,22.0,0,24117248,0,20480,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:31:59,1,0,99,0,0,2767192064,17394617548.8,1380974592,11274289152,0,26.0,0,2.00,0,22.0,0,23068672,0,73728,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:00,2,1,97,0,0,2768240640,17394617548.8,1380974592,11274289152,0,29.0,0,1.00,0,22.0,0,23068672,0,4096,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:01,1,0,99,0,0,2773483520,17394617548.8,1380974592,11274289152,0,35.0,0,11.0,0,22.0,0,23068672,0,45056,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:02,1,0,98,0,0,2775580672,17394617548.8,1380974592,11274289152,0,27.0,0,3.00,0,22.0,0,20971520,0,16384,0,20971520,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:03,1,1,99,0,0,2781872128,17394617548.8,1380974592,11274289152,0,31.0,0,8.00,0,22.0,0,23068672,0,36864,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:04,1,1,97,1,0,2787115008,17394617548.8,1380974592,11274289152,0,93.0,0,2.00,0,22.0,0,25165824,0,69632,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:05,1,1,99,0,0,2787115008,17394617548.8,1380974592,11274289152,0,25.0,0,3.00,0,22.0,0,23068672,0,16384,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:06,1,0,98,0,0,2788163584,17394617548.8,1380974592,11274289152,0,37.0,0,7.00,0,22.0,0,23068672,0,28672,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:07,0,0,99,0,0,2781872128,17394617548.8,1380974592,11274289152,0,22.0,0,0,0,22.0,0,20971520,0,0,0,20971520,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:08,2,0,98,0,0,2789212160,17394617548.8,1380974592,11274289152,0,69.0,0,45.0,0,22.0,0,23068672,0,200704,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:09,1,0,99,0,0,2779774976,17394617548.8,1380974592,11274289152,0,28.0,0,4.00,0,22.0,0,23068672,0,143360,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:10,1,0,98,0,0,2780823552,17394617548.8,1380974592,11274289152,0,55.0,0,5.00,0,22.0,0,24117248,0,24576,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:11,1,0,99,0,0,2780823552,17394617548.8,1380974592,11274289152,0,24.0,0,2.00,0,22.0,0,23068672,0,8192,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:12,1,0,98,0,0,2778726400,17394617548.8,1380974592,11274289152,0,35.0,0,7.00,0,24.0,0,23068672,0,28672,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:13,1,0,99,0,0,2782920704,17394617548.8,1380974592,11274289152,0,30.0,0,7.00,0,23.0,0,20971520,0,57344,0,20971520,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:14,2,1,97,0,0,2782920704,17394617548.8,1380974592,11274289152,0,39.0,0,3.00,0,23.0,0,23068672,0,102400,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:15,2,1,97,0,0,2783969280,17394617548.8,1380974592,11274289152,0,53.0,0,29.0,0,22.0,0,24117248,0,319488,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:16,2,1,97,0,0,2800746496,17394617548.8,1380974592,11274289152,0,87.0,0,13.0,0,22.0,0,26214400,0,61440,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:17,1,0,99,0,0,2804940800,17394617548.8,1380974592,11274289152,0,37.0,0,7.00,0,24.0,0,23068672,0,32768,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:18,1,0,99,0,0,2805989376,17394617548.8,1380974592,11274289152,0,28.0,0,8.00,0,20.0,0,20971520,0,36864,0,20971520,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:19,1,0,99,0,0,2804940800,17394617548.8,1380974592,11274289152,0,27.0,0,5.00,0,22.0,0,23068672,0,126976,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:20,1,0,98,0,0,2804940800,17394617548.8,1380974592,11274289152,0,35.0,0,5.00,0,22.0,0,23068672,0,28672,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:21,1,0,99,0,0,2810183680,17394617548.8,1380974592,11274289152,0,28.0,0,2.00,0,22.0,0,23068672,0,12288,0,23068672,30279519436.8,502511173632,84410368,527207235584
24-02 13:32:22,3,1,95,1,0,2866806784,17287243366.4,1380974592,11274289152,0,72.0,0,24.0,0,48.0,0,42991616,0,9990144,0,33554432,30279519436.8,502511173632,93952409.6,527207235584
24-02 13:32:23,4,1,91,3,0,2904555520,17179869184,1380974592,11489037516.8,0,231,0,74.0,0,114,0,120586240,0,40894464,0,78643200,30386893619.2,502511173632,150994944,527207235584
24-02 13:32:24,8,2,87,3,0,3006267392,16965120819.2,1380974592,11596411699.2,0,224,0,123,0,89.0,0,115343360,0,54525952,0,60817408,30386893619.2,502511173632,186646528,527207235584
24-02 13:32:25,5,2,91,3,0,3049259008,16857746636.8,1380974592,11703785881.6,0,169,0,71.0,0,97.0,0,104857600,0,40894464,0,65011712,30494267801.6,502511173632,227540992,527207235584
24-02 13:32:26,6,2,90,2,0,3079667712,16750372454.4,1380974592,11811160064,0,170,0,75.0,0,87.0,0,95420416,0,37748736,0,57671680,30494267801.6,502511173632,263192576,527207235584
24-02 13:32:27,6,2,90,3,0,3128950784,16642998272,1380974592,12025908428.8,0,222,0,89.0,0,133,0,139460608,0,57671680,0,81788928,30601641984,502511173632,320864256,527207235584
24-02 13:32:28,4,1,93,2,0,3152019456,16535624089.6,1380974592,12025908428.8,0,258,0,159,0,99.0,0,101711872,0,39845888,0,61865984,30601641984,501437431808,356515840,527207235584
24-02 13:32:29,4,1,92,2,0,3150970880,16428249907.2,1380974592,12133282611.2,0,302,0,141,0,120,0,116391936,0,45088768,0,69206016,30601641984,501437431808,396361728,527207235584
24-02 13:32:30,5,2,91,3,0,3098542080,16428249907.2,1380974592,12240656793.6,0,238,0,108,0,124,0,137363456,0,58720256,0,78643200,30709016166.4,501437431808,449839104,527207235584
24-02 13:32:31,5,1,91,2,0,3114270720,16320875724.8,1380974592,12348030976,0,222,0,102,0,118,0,114294784,0,45088768,0,69206016,30709016166.4,501437431808,489684992,527207235584
24-02 13:32:32,4,1,92,2,0,3110076416,16213501542.4,1380974592,12455405158.4,0,263,0,146,0,115,0,108003328,0,42991616,0,65011712,30709016166.4,501437431808,527433728,527207235584
24-02 13:32:33,3,2,93,3,0,3129999360,16106127360,1380974592,12562779340.8,0,319,0,172,0,147,0,146800640,0,61865984,0,84934656,30816390348.8,501437431808,583008256,527207235584
24-02 13:32:34,3,2,92,3,0,3133145088,15998753177.6,1380974592,12562779340.8,0,445,0,145,0,288,0,185597952,0,69206016,0,116391936,30816390348.8,501437431808,618659840,527207235584
24-02 13:32:35,3,2,93,3,0,3133145088,15891378995.2,1380974592,12670153523.2,0,263,0,145,0,116,0,111149056,0,44040192,0,67108864,30923764531.2,501437431808,658505728,526133493760
24-02 13:32:36,4,1,93,3,0,3131047936,15784004812.8,1380974592,12777527705.6,0,273,0,109,0,134,0,131072000,0,46137344,0,82837504,30923764531.2,501437431808,711983104,526133493760
24-02 13:32:37,3,2,93,3,0,3128950784,15784004812.8,1380974592,12884901888,0,235,0,120,0,113,0,123731968,0,57671680,0,66060288,31031138713.6,501437431808,751828992,526133493760
24-02 13:32:38,3,2,93,3,0,3110076416,15676630630.4,1380974592,12884901888,0,238,0,127,0,111,0,108003328,0,42991616,0,66060288,31031138713.6,501437431808,788529152,526133493760
24-02 13:32:39,3,3,76,18,0,3150970880,15569256448,1380974592,12992276070.4,0,948,0,370,0,578,0,526385152,0,167772160,0,358612992,31031138713.6,501437431808,845152256,526133493760
24-02 13:32:40,3,2,81,14,0,3153068032,15461882265.6,1380974592,13099650252.8,0,359,0,242,0,110,0,240123904,0,174063616,0,66060288,31031138713.6,501437431808,881852416,526133493760
24-02 13:32:41,3,2,86,8,0,3143630848,15354508083.2,1380974592,13207024435.2,0,354,0,237,0,111,0,213909504,0,146800640,0,67108864,31138512896,501437431808,920649728,526133493760
24-02 13:32:42,4,2,91,3,0,3148873728,15247133900.8,1382023168,13314398617.6,0,318,0,147,0,133,0,124780544,0,42991616,0,80740352,31245887078.4,501437431808,975175680,526133493760
24-02 13:32:43,4,2,91,3,0,3142582272,15247133900.8,1382023168,13421772800,0,364,0,189,0,175,0,128974848,0,60817408,0,68157440,31245887078.4,501437431808,1013972992,526133493760
24-02 13:32:44,5,2,90,3,0,3140485120,15139759718.4,1382023168,13421772800,0,428,0,108,0,306,0,186646528,0,41943040,0,144703488,31245887078.4,501437431808,1050673152,526133493760
24-02 13:32:45,4,2,91,3,0,3138387968,15032385536,1382023168,13529146982.4,0,251,0,110,0,141,0,110100480,0,45088768,0,65011712,31353261260.8,501437431808,1090519040,526133493760
24-02 13:32:46,5,2,85,8,0,3146776576,14925011353.6,1382023168,13636521164.8,0,492,0,328,0,156,0,230686720,0,146800640,0,82837504,31353261260.8,501437431808,1143996416,526133493760
24-02 13:32:47,4,1,92,3,0,3141533696,14817637171.2,1382023168,13743895347.2,0,236,0,121,0,115,0,111149056,0,44040192,0,67108864,31460635443.2,501437431808,1182793728,526133493760
24-02 13:32:48,4,1,92,3,0,3134193664,14817637171.2,1382023168,13743895347.2,0,292,0,138,0,124,0,110100480,0,42991616,0,66060288,31460635443.2,501437431808,1220542464,526133493760
24-02 13:32:49,4,2,89,5,0,3157262336,14710262988.8,1382023168,13851269529.6,0,607,0,124,0,483,0,376438784,0,36700160,0,338690048,31460635443.2,501437431808,1276116992,526133493760
24-02 13:32:50,5,2,90,3,0,3158310912,14495514624,1382023168,14066017894.4,0,299,0,146,0,143,0,210763776,0,103809024,0,106954752,31568009625.6,501437431808,1329594368,526133493760
24-02 13:32:51,5,2,86,6,0,3166699520,14388140441.6,1382023168,14173392076.8,0,435,0,275,0,160,0,257949696,0,136314880,0,121634816,31568009625.6,501437431808,1402994688,526133493760
24-02 13:32:52,4,2,79,15,0,3161456640,14388140441.6,1382023168,14173392076.8,0,451,0,274,0,171,0,267386880,0,174063616,0,93323264,31675383808,501437431808,1456472064,526133493760
24-02 13:32:53,5,2,77,16,0,3159359488,14280766259.2,1382023168,14280766259.2,0,406,0,229,0,160,0,274726912,0,173015040,0,101711872,31675383808,500363689984,1513095168,526133493760
24-02 13:32:54,7,4,80,9,0,3170893824,14066017894.4,1382023168,14495514624,0,695,0,281,0,381,0,405798912,0,173015040,0,232783872,31782757990.4,500363689984,1583349760,526133493760
24-02 13:32:55,5,3,86,6,0,3149922304,13851269529.6,1382023168,14710262988.8,0,417,0,211,0,206,0,260046848,0,130023424,0,131072000,31890132172.8,500363689984,1654652928,526133493760
24-02 13:32:56,7,3,86,4,0,3168796672,13743895347.2,1382023168,14817637171.2,0,371,0,177,0,188,0,253755392,0,106954752,0,146800640,31997506355.2,500363689984,1743781888,525059751936
24-02 13:32:57,5,3,88,5,0,3169845248,13529146982.4,1382023168,15032385536,0,390,0,208,0,178,0,256901120,0,126877696,0,130023424,31997506355.2,500363689984,1815085056,525059751936
24-02 13:32:58,5,2,87,6,0,3178233856,13421772800,1382023168,15139759718.4,0,382,0,210,0,172,0,260046848,0,125829120,0,134217728,32104880537.6,500363689984,1887436800,525059751936
24-02 13:32:59,5,2,72,21,0,3182428160,13314398617.6,1383071744,15139759718.4,0,1074,0,275,0,761,0,674234368,0,168820736,0,501219328,32104880537.6,500363689984,1925185536,525059751936
24-02 13:33:00,6,3,82,9,0,3183476736,13207024435.2,1383071744,15354508083.2,0,451,0,234,0,211,0,281018368,0,175112192,0,106954752,32212254720,500363689984,1947205632,525059751936
24-02 13:33:01,6,2,85,7,0,3213885440,12992276070.4,1383071744,15461882265.6,0,347,0,222,0,125,0,274726912,0,173015040,0,101711872,32319628902.4,500363689984,1967128576,525059751936
24-02 13:33:02,8,2,82,7,0,3262119936,12884901888,1383071744,15569256448,0,375,0,231,0,138,0,270532608,0,176160768,0,93323264,32427003084.8,500363689984,1989148672,525059751936
24-02 13:33:03,3,3,89,4,0,3258974208,12777527705.6,1383071744,15676630630.4,0,323,0,192,0,131,0,200278016,0,117440512,0,82837504,32534377267.2,500363689984,2010120192,525059751936
24-02 13:33:04,4,2,90,4,0,3231711232,12670153523.2,1383071744,15784004812.8,0,365,0,185,0,168,0,210763776,0,126877696,0,82837504,32641751449.6,500363689984,2032140288,525059751936
24-02 13:33:05,3,2,78,17,0,3239051264,12562779340.8,1383071744,15784004812.8,0,663,0,225,0,435,0,502267904,0,181403648,0,320864256,32641751449.6,500363689984,2052063232,525059751936
24-02 13:33:06,4,2,77,17,0,3234856960,12562779340.8,1383071744,15891378995.2,0,453,0,287,0,119,0,261095424,0,173015040,0,83886080,32641751449.6,500363689984,2074083328,525059751936
24-02 13:33:07,3,1,79,17,0,3236954112,12562779340.8,1383071744,15891378995.2,0,356,0,236,0,120,0,255852544,0,173015040,0,82837504,32641751449.6,500363689984,2096103424,525059751936
24-02 13:33:08,4,3,81,12,0,3230662656,12455405158.4,1383071744,15998753177.6,0,689,0,299,0,386,0,477102080,0,174063616,0,303038464,32749125632,499289948160,2113929216,525059751936
24-02 13:33:09,4,3,82,11,0,3185573888,12348030976,1383071744,16106127360,0,715,0,276,0,439,0,401604608,0,173015040,0,228589568,32856499814.4,499289948160,2139095040,525059751936
24-02 13:33:10,3,1,74,21,0,3185573888,12348030976,1383071744,16106127360,0,468,0,238,0,224,0,358612992,0,173015040,0,185597952,32856499814.4,499289948160,2159017984,525059751936
24-02 13:33:11,4,3,80,13,0,3195011072,12670153523.2,1383071744,15784004812.8,0,490,0,348,0,140,0,279969792,0,171966464,0,108003328,32427003084.8,500363689984,2182086656,525059751936
24-02 13:33:12,4,3,87,6,0,3193962496,12562779340.8,1383071744,15891378995.2,0,397,0,262,0,133,0,267386880,0,176160768,0,91226112,32534377267.2,500363689984,2203058176,525059751936
24-02 13:33:13,3,2,85,10,0,3184525312,12455405158.4,1383071744,15998753177.6,0,453,0,284,0,155,0,257949696,0,173015040,0,82837504,32641751449.6,500363689984,2224029696,525059751936
24-02 13:33:14,4,3,86,7,0,3196059648,12348030976,1383071744,16106127360,0,403,0,249,0,138,0,254803968,0,174063616,0,80740352,32749125632,499289948160,2246049792,525059751936
24-02 13:33:15,4,3,83,10,0,3198156800,12240656793.6,1383071744,16213501542.4,0,698,0,227,0,471,0,500170752,0,174063616,0,326107136,32856499814.4,499289948160,2267021312,525059751936
24-02 13:33:16,5,2,88,5,0,3200253952,12133282611.2,1383071744,16320875724.8,0,338,0,204,0,128,0,170917888,0,120586240,0,50331648,32963873996.8,499289948160,2287992832,525059751936
24-02 13:33:17,4,2,92,2,0,3203399680,12025908428.8,1383071744,16428249907.2,0,274,0,173,0,101,0,111149056,0,61865984,0,49283072,32963873996.8,499289948160,2310012928,525059751936
24-02 13:33:18,3,1,90,6,0,3204448256,11918534246.4,1383071744,16535624089.6,0,267,0,132,0,95.0,0,138412032,0,87031808,0,49283072,33071248179.2,499289948160,2329935872,525059751936
24-02 13:33:19,2,1,78,18,0,3217031168,11918534246.4,1383071744,16535624089.6,0,297,0,192,0,105,0,224395264,0,173015040,0,51380224,33071248179.2,499289948160,2351955968,525059751936
24-02 13:33:20,3,2,76,19,0,3208642560,11918534246.4,1384120320,16535624089.6,0,757,0,323,0,424,0,491782144,0,174063616,0,317718528,33071248179.2,499289948160,2357198848,525059751936
24-02 13:33:21,3,1,80,16,0,3200253952,11918534246.4,1384120320,16535624089.6,1.00,391,1.00,278,0,112,4096,224395264,4096,174063616,0,50331648,33071248179.2,499289948160,2357198848,525059751936
24-02 13:33:22,4,3,79,15,0,3195011072,11811160064,1384120320,16642998272,0,818,0,245,0,571,0,378535936,0,174063616,0,205520896,33178622361.6,499289948160,2357198848,525059751936
24-02 13:33:23,2,1,82,15,0,3182428160,11811160064,1384120320,16642998272,0,347,0,240,0,106,0,219152384,0,173015040,0,46137344,33178622361.6,499289948160,2357198848,525059751936
24-02 13:33:24,5,2,84,9,0,3180331008,12348030976,1384120320,16106127360,0,602,0,457,0,133,0,160432128,0,109051904,0,51380224,32641751449.6,500363689984,2357198848,525059751936
24-02 13:33:25,3,2,94,2,0,3177185280,12348030976,1384120320,16106127360,0,300,0,140,0,156,0,98566144,0,42991616,0,55574528,32641751449.6,500363689984,2358247424,525059751936
24-02 13:33:26,4,2,92,3,0,3174039552,12348030976,1384120320,16213501542.4,0,296,0,159,0,127,0,116391936,0,61865984,0,54525952,32641751449.6,500363689984,2358247424,525059751936
24-02 13:33:27,2,1,94,2,0,3174039552,12240656793.6,1384120320,16213501542.4,0,197,0,109,0,88.0,0,89128960,0,41943040,0,47185920,32749125632,499289948160,2362441728,525059751936
24-02 13:33:28,3,1,94,2,0,3172990976,12240656793.6,1384120320,16213501542.4,0,215,0,118,0,97.0,0,93323264,0,42991616,0,50331648,32749125632,499289948160,2384461824,525059751936
24-02 13:33:29,2,2,94,3,0,3170893824,12133282611.2,1384120320,16320875724.8,0,256,0,112,0,99.0,0,95420416,0,42991616,0,50331648,32856499814.4,499289948160,2406481920,525059751936
