----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 13:31:51|  1   0  98   0   0|2713M 16.2G 1317M 10.5G|3.44  20.3 :3.39  12.1 :0.01  0.02 |  39k 1274k:  39k  674k:  38B   17k|28.2G  468G:80.5M  491G
24-02 13:31:52|  1   0  98   0   0|2708M 16.2G 1317M 10.5G|   0  24.0 :   0     0 :   0  22.0 |   0    22M:   0     0 :   0    22M|28.2G  468G:80.5M  491G
24-02 13:31:53|  1   0  98   1   0|2646M 16.2G 1317M 10.5G|   0  74.0 :   0  7.00 :   0  20.0 |   0    22M:   0    32k:   0    20M|28.2G  468G:80.5M  491G
24-02 13:31:54|  1   1  98   0   0|2650M 16.2G 1317M 10.5G|   0  36.0 :   0  2.00 :   0  22.0 |   0    22M:   0    72k:   0    22M|28.2G  468G:80.5M  491G
24-02 13:31:55|  1   1  98   0   0|2648M 16.2G 1317M 10.5G|   0  29.0 :   0  5.00 :   0  22.0 |   0    22M:   0    20k:   0    22M|28.2G  468G:80.5M  491G
24-02 13:31:56|  2   1  97   0   0|2643M 16.2G 1317M 10.5G|   0  47.0 :   0  8.00 :   0  33.0 |   0    22M:   0    40k:   0    22M|28.2G  468G:80.5M  491G
24-02 13:31:57|  1   0  99   0   0|2641M 16.2G 1317M 10.5G|   0  24.0 :   0  4.00 :   0  20.0 |   0    21M:   0  1188k:   0    20M|28.2G  468G:80.5M  491G
24-02 13:31:58|  2   0  98   0   0|2637M 16.2G 1317M 10.5G|   0  46.0 :   0  4.00 :   0  22.0 |   0    23M:   0    20k:   0    22M|28.2G  468G:80.5M  491G
24-02 13:31:59|  1   0  99   0   0|2639M 16.2G 1317M 10.5G|   0  26.0 :   0  2.00 :   0  22.0 |   0    22M:   0    72k:   0    22M|28.2G  468G:80.5M  491G
24-02 13:32:00|  2   1  97   0   0|2640M 16.2G 1317M 10.5G|   0  29.0 :   0  1.00 :   0  22.0 |   0    22M:   0  4096B:   0    22M|28.2G  468G:80.5M  491G
24-02 13:32:01|  1   0  99   0   0|2645M 16.2G 1317M 10.5G|   0  35.0 :   0  11.0 :   0  22.0 |   0    22M:   0    44k:   0    22M|28.2G  468G:80.5M  491G
24-02 13:32:02|  1   0  98   0   0|2647M 16.2G 1317M 10.5G|   0  27.0 :   0  3.00 :   0  22.0 |   0    20M:   0    16k:   0    20M|28.2G  468G:80.5M  491G
24-02 13:32:03|  1   1  99   0   0|2653M 16.2G 1317M 10.5G|   0  31.0 :   0  8.00 :   0  22.0 |   0    22M:   0    36k:   0    22M|28.2G  468G:80.5M  491G
24-02 13:32:04|  1   1  97   1   0|2658M 16.2G 1317M 10.5G|   0  93.0 :   0  2.00 :   0  22.0 |   0    24M:   0    68k:   0    22M|28.2G  468G:80.5M  491G
24-02 13:32:05|  1   1  99   0   0|2658M 16.2G 1317M 10.5G|   0  25.0 :   0  3.00 :   0  22.0 |   0    22M:   0    16k:   0    22M|28.2G  468G:80.5M  491G
24-02 13:32:06|  1   0  98   0   0|2659M 16.2G 1317M 10.5G|   0  37.0 :   0  7.00 :   0  22.0 |   0    22M:   0    28k:   0    22M|28.2G  468G:80.5M  491G
